state,collection_date,Inpatient Beds Occupied Estimated,Count LL,Count UL,Percentage of Inpatient Beds Occupied Estimated,Percentage LL,Percentage UL,Total Inpatient Beds,Total LL,Total UL
VT,2020-08-21,314,-86,714,57.50,47.05,67.95,546,50,"1,043"
MO,2020-08-22,"9,730","9,469","9,990",56.74,55.49,57.99,"17,047","16,748","17,346"
NE,2020-08-22,"3,287","3,184","3,390",59.36,52.63,66.09,"5,537","5,369","5,705"
NM,2020-08-22,"1,708","1,519","1,898",60.37,45.48,75.26,"2,830","2,628","3,031"
SD,2020-08-22,"1,170","1,141","1,199",57.90,52.58,63.21,"2,016","1,966","2,065"
TX,2020-08-22,"45,095","44,392","45,798",75.92,73.16,78.67,"59,338","58,779","59,898"
VT,2020-08-22,304,-96,705,56.63,36.18,77.09,538,38,"1,037"
MO,2020-08-23,"9,311","9,051","9,572",54.30,53.01,55.58,"17,025","16,739","17,311"
NE,2020-08-23,"3,252","3,146","3,358",58.76,51.80,65.71,"5,534","5,360","5,709"
NM,2020-08-23,"1,661","1,511","1,812",58.72,49.57,67.87,"2,829","2,669","2,990"
SD,2020-08-23,"1,140","1,023","1,257",56.96,38.05,75.87,"1,990","1,849","2,132"
TX,2020-08-23,"42,747","41,974","43,520",74.22,70.98,77.46,"57,532","56,907","58,156"
VT,2020-08-23,309,-92,710,57.73,36.89,78.57,535,35,"1,034"
MO,2020-08-24,"9,262","9,024","9,499",54.11,54.00,54.23,"17,014","16,737","17,290"
NE,2020-08-24,"3,088","3,003","3,173",60.41,54.81,66.01,"5,112","4,994","5,231"
NM,2020-08-24,"1,758","1,624","1,892",60.58,51.21,69.95,"2,902","2,717","3,088"
SD,2020-08-24,"1,154","1,134","1,174",57.82,54.45,61.20,"1,986","1,958","2,013"
TX,2020-08-24,"43,162","42,358","43,966",73.89,70.50,77.27,"58,351","57,689","59,014"
VT,2020-08-24,320,-80,720,58.50,47.95,69.05,547,51,"1,043"
MO,2020-08-25,"9,810","9,580","10,040",57.25,57.25,57.25,"17,287","17,018","17,556"
NE,2020-08-25,"3,273","3,193","3,353",63.83,58.56,69.11,"5,127","5,014","5,241"
NM,2020-08-25,"1,938","1,828","2,048",64.36,52.83,75.89,"3,011","2,858","3,164"
SD,2020-08-25,"1,229","1,211","1,246",61.21,57.87,64.55,"1,998","1,966","2,030"
TX,2020-08-25,"44,333","43,502","45,164",75.70,72.23,79.18,"58,497","57,823","59,170"
VT,2020-08-25,343,-58,743,62.24,42.70,81.77,551,52,"1,049"
MO,2020-08-26,"10,503","10,279","10,727",60.26,56.18,64.34,"17,323","17,059","17,587"
NE,2020-08-26,"3,263","3,185","3,342",66.30,60.81,71.79,"4,922","4,806","5,038"
NM,2020-08-26,"1,936","1,811","2,061",64.22,51.76,76.69,"3,015","2,865","3,165"
SD,2020-08-26,"1,236","1,121","1,351",61.64,43.43,79.86,"1,995","1,858","2,133"
TX,2020-08-26,"44,541","43,565","45,517",76.23,71.92,80.54,"58,369","57,518","59,219"
VT,2020-08-26,376,-25,777,62.08,40.04,84.12,606,107,"1,104"
MO,2020-08-27,"10,598","10,378","10,817",60.80,56.78,64.82,"17,323","17,061","17,585"
NE,2020-08-27,"3,258","3,228","3,288",65.94,63.69,68.19,"4,941","4,890","4,992"
NM,2020-08-27,"1,818","1,694","1,942",60.25,47.22,73.27,"3,017","2,851","3,183"
SD,2020-08-27,"1,220","1,211","1,230",60.83,58.44,63.23,"1,994","1,967","2,021"
TX,2020-08-27,"44,736","43,848","45,624",75.28,71.54,79.02,"59,362","58,628","60,097"
VT,2020-08-27,373,-28,773,61.60,42.54,80.65,605,108,"1,103"
MO,2020-08-28,"10,605","10,387","10,823",60.87,56.95,64.79,"17,298","17,052","17,544"
NE,2020-08-28,"3,484","3,469","3,498",64.33,62.69,65.97,"5,415","5,364","5,466"
NM,2020-08-28,"1,904","1,766","2,042",63.09,48.06,78.13,"3,017","2,821","3,213"
SD,2020-08-28,"1,245","1,229","1,262",61.95,58.71,65.20,"1,999","1,967","2,031"
TX,2020-08-28,"44,299","43,417","45,180",74.90,71.14,78.66,"59,079","58,332","59,827"
VT,2020-08-28,366,-35,767,60.28,40.49,80.07,607,109,"1,104"
MO,2020-08-29,"10,110","9,905","10,316",58.14,54.37,61.92,"17,282","17,042","17,523"
NE,2020-08-29,"3,415","3,331","3,500",63.27,57.37,69.18,"5,398","5,249","5,547"
NM,2020-08-29,"1,926","1,826","2,026",63.51,53.06,73.96,"3,033","2,892","3,173"
SD,2020-08-29,"1,127","1,105","1,149",55.67,51.48,59.87,"2,006","1,965","2,047"
TX,2020-08-29,"41,179","40,256","42,103",72.41,71.37,73.45,"56,892","56,143","57,642"
VT,2020-08-29,345,-21,712,56.59,33.95,79.24,610,154,"1,067"
MO,2020-08-30,"9,635","9,435","9,836",55.55,51.89,59.21,"17,241","17,020","17,463"
NE,2020-08-30,"3,278","3,193","3,363",61.05,55.17,66.94,"5,368","5,222","5,515"
NM,2020-08-30,"1,874","1,726","2,022",61.77,47.50,76.04,"3,034","2,880","3,187"
SD,2020-08-30,"1,113","1,095","1,130",54.81,51.36,58.26,"2,015","1,981","2,050"
TX,2020-08-30,"40,779","39,820","41,737",71.88,70.31,73.45,"56,790","55,979","57,601"
VT,2020-08-30,346,-21,712,56.40,34.74,78.07,613,156,"1,069"
MO,2020-08-31,"9,711","9,528","9,894",55.97,52.70,59.25,"17,231","17,044","17,418"
NE,2020-08-31,"3,034","3,020","3,047",62.01,60.74,63.27,"4,893","4,860","4,926"
NM,2020-08-31,"1,906","1,828","1,983",62.80,54.87,70.74,"3,034","2,922","3,146"
SD,2020-08-31,"1,149","1,140","1,157",56.53,53.73,59.33,"2,020","1,985","2,055"
TX,2020-08-31,"40,025","39,085","40,964",71.39,70.91,71.87,"56,055","55,259","56,852"
VT,2020-08-31,333,-32,698,54.28,40.89,67.66,613,160,"1,066"
MO,2020-09-01,"10,319","10,163","10,475",59.25,59.25,59.25,"17,287","17,287","17,287"
NE,2020-09-01,"3,128","3,112","3,144",63.76,62.31,65.20,"4,906","4,869","4,942"
NM,2020-09-01,"1,965","1,929","2,000",65.38,63.72,67.05,"3,005","2,954","3,056"
SD,2020-09-01,"1,238","1,230","1,246",60.46,58.17,62.75,"2,029","2,002","2,056"
TX,2020-09-01,"42,228","41,290","43,167",73.43,73.02,73.85,"57,509","56,714","58,304"
VT,2020-09-01,368,3,733,58.75,46.50,71.01,626,173,"1,079"
MO,2020-09-02,"10,502","10,501","10,504",60.01,59.98,60.04,"17,374","17,372","17,375"
NE,2020-09-02,"3,166","3,146","3,185",64.85,62.99,66.70,"4,882","4,834","4,930"
NM,2020-09-02,"2,005","1,902","2,107",65.66,57.75,73.57,"3,053","3,002","3,104"
SD,2020-09-02,"1,288","1,277","1,299",62.91,60.17,65.66,"2,031","2,001","2,061"
TX,2020-09-02,"43,967","43,028","44,907",74.31,73.84,74.78,"59,171","58,374","59,969"
VT,2020-09-02,365,-1,730,53.01,44.87,61.15,688,236,"1,139"
MO,2020-09-03,"10,592","10,592","10,592",60.96,60.96,60.96,"17,262","17,262","17,262"
NE,2020-09-03,"3,177","3,163","3,191",64.69,63.15,66.24,"4,911","4,869","4,953"
NM,2020-09-03,"2,004","1,970","2,038",65.33,64.11,66.55,"3,068","3,018","3,117"
SD,2020-09-03,"1,265","1,258","1,273",62.42,60.28,64.56,"2,008","1,984","2,032"
TX,2020-09-03,"43,553","42,586","44,519",74.16,72.92,75.40,"58,730","57,896","59,564"
VT,2020-09-03,362,-3,727,52.51,43.69,61.34,690,238,"1,141"
MO,2020-09-04,"10,548","10,522","10,573",60.78,60.33,61.23,"17,249","17,222","17,276"
NE,2020-09-04,"3,078","3,046","3,110",62.67,60.22,65.12,"4,912","4,855","4,969"
NM,2020-09-04,"1,940","1,908","1,971",63.36,62.56,64.17,"3,061","3,011","3,111"
SD,2020-09-04,"1,215","1,101","1,329",60.28,42.23,78.32,"1,999","1,864","2,134"
TX,2020-09-04,"42,927","41,989","43,865",73.52,73.09,73.94,"58,393","57,596","59,190"
VT,2020-09-04,345,-21,710,49.85,40.73,58.98,692,240,"1,143"
MO,2020-09-05,"10,018","9,976","10,060",57.80,56.83,58.76,"17,224","17,143","17,306"
NE,2020-09-05,"3,133","3,047","3,219",59.02,53.01,65.03,"5,309","5,161","5,457"
NM,2020-09-05,"1,907","1,825","1,989",62.07,53.53,70.62,"3,072","2,949","3,194"
SD,2020-09-05,"1,158","1,138","1,178",57.56,53.86,61.27,"1,994","1,960","2,028"
TX,2020-09-05,"42,124","41,184","43,063",71.77,71.28,72.25,"58,695","57,896","59,493"
VT,2020-09-05,319,-46,685,46.05,36.76,55.34,693,242,"1,145"
MO,2020-09-06,"9,539","9,509","9,569",55.13,54.55,55.70,"17,206","17,168","17,244"
NE,2020-09-06,"3,037","2,945","3,128",57.44,51.24,63.65,"5,286","5,139","5,433"
NM,2020-09-06,"1,826","1,731","1,921",59.33,49.31,69.36,"3,078","2,937","3,218"
SD,2020-09-06,"1,163","1,047","1,279",57.17,38.66,75.68,"2,012","1,873","2,151"
TX,2020-09-06,"39,835","38,879","40,791",70.30,69.20,71.39,"56,659","55,842","57,477"
VT,2020-09-06,330,-35,695,47.45,38.33,56.57,695,244,"1,146"
MO,2020-09-07,"9,487","9,383","9,591",54.90,53.25,56.56,"17,178","17,154","17,201"
NE,2020-09-07,"3,078","2,994","3,162",57.74,51.87,63.61,"5,330","5,185","5,476"
NM,2020-09-07,"1,812","1,727","1,897",58.93,49.63,68.22,"3,075","2,937","3,213"
SD,2020-09-07,"1,110","1,087","1,132",55.02,51.10,58.95,"2,004","1,970","2,038"
TX,2020-09-07,"39,157","38,222","40,092",69.86,69.42,70.30,"56,043","55,247","56,839"
VT,2020-09-07,335,-31,700,47.98,39.52,56.45,697,246,"1,148"
MO,2020-09-08,"9,764","9,729","9,800",56.36,56.36,56.36,"17,213","17,213","17,213"
NE,2020-09-08,"2,938","2,924","2,953",60.20,58.75,61.64,"4,882","4,843","4,920"
NM,2020-09-08,"1,836","1,803","1,870",59.80,58.06,61.55,"3,071","3,021","3,121"
SD,2020-09-08,"1,163","1,149","1,177",57.26,55.11,59.41,"2,019","2,005","2,034"
TX,2020-09-08,"39,569","38,631","40,508",70.66,70.04,71.28,"55,992","55,194","56,790"
VT,2020-09-08,348,-17,713,49.80,49.80,49.80,699,248,"1,150"
MO,2020-09-09,"10,415","10,415","10,415",60.09,60.09,60.09,"17,218","17,218","17,218"
NE,2020-09-09,"3,035","3,004","3,067",61.99,59.59,64.40,"4,896","4,842","4,951"
NM,2020-09-09,"1,973","1,941","2,005",62.49,60.54,64.44,"3,158","3,103","3,212"
SD,2020-09-09,"1,204","1,201","1,206",59.99,59.36,60.63,"1,991","1,984","1,998"
TX,2020-09-09,"42,098","41,128","43,068",73.54,72.13,74.95,"57,239","56,398","58,080"
VT,2020-09-09,361,12,710,51.77,51.77,51.77,697,266,"1,128"
MO,2020-09-10,"10,720","10,714","10,726",61.90,61.81,62.00,"17,212","17,206","17,218"
NE,2020-09-10,"3,076","3,048","3,104",62.98,60.89,65.07,"4,884","4,837","4,931"
NM,2020-09-10,"2,054","1,982","2,127",64.10,57.86,70.35,"3,205","3,153","3,257"
SD,2020-09-10,"1,218","1,217","1,219",60.79,60.27,61.31,"1,992","1,986","1,998"
TX,2020-09-10,"43,377","42,445","44,308",74.00,73.38,74.61,"58,695","57,898","59,492"
VT,2020-09-10,340,0,679,48.72,48.72,48.72,697,279,"1,115"
MO,2020-09-11,"10,764","10,764","10,764",62.03,62.03,62.03,"17,249","17,249","17,249"
NE,2020-09-11,"3,137","3,075","3,198",64.15,59.98,68.31,"4,890","4,806","4,973"
NM,2020-09-11,"2,009","1,979","2,039",62.64,59.46,65.82,"3,207","3,164","3,250"
SD,2020-09-11,"1,243","1,128","1,358",61.67,43.70,79.63,"2,006","1,872","2,140"
TX,2020-09-11,"43,332","42,340","44,325",73.76,73.19,74.33,"58,826","57,964","59,688"
VT,2020-09-11,764,435,"1,093",64.88,-23.98,153.74,"1,178",772,"1,584"
MO,2020-09-12,"10,176","10,138","10,214",58.87,58.55,59.18,"17,176","17,151","17,201"
NE,2020-09-12,"3,270","3,178","3,361",61.88,55.62,68.13,"5,284","5,135","5,434"
NM,2020-09-12,"1,938","1,908","1,968",60.43,57.16,63.70,"3,207","3,161","3,252"
SD,2020-09-12,"1,197","1,175","1,218",59.74,55.77,63.71,"1,995","1,959","2,031"
TX,2020-09-12,"42,314","41,326","43,302",73.02,71.36,74.68,"57,980","57,117","58,842"
VT,2020-09-12,783,460,"1,106",66.47,-20.61,153.55,"1,178",779,"1,577"
MO,2020-09-13,"9,751","9,751","9,751",56.57,56.57,56.57,"17,118","17,118","17,118"
NE,2020-09-13,"3,153","3,069","3,238",59.75,53.94,65.56,"5,278","5,139","5,417"
NM,2020-09-13,"1,915","1,873","1,956",59.73,55.71,63.76,"3,205","3,159","3,252"
SD,2020-09-13,"1,162","1,141","1,182",58.21,54.06,62.36,"1,987","1,947","2,028"
TX,2020-09-13,"41,394","40,406","42,382",72.39,70.57,74.21,"57,200","56,334","58,065"
VT,2020-09-13,780,461,"1,099",66.27,-19.69,152.23,"1,177",783,"1,571"
MO,2020-09-14,"9,833","9,833","9,833",56.95,56.95,56.95,"17,147","17,147","17,147"
NE,2020-09-14,"3,007","2,970","3,043",61.60,58.87,64.33,"4,881","4,820","4,942"
NM,2020-09-14,"1,945","1,919","1,971",60.69,57.88,63.49,"3,205","3,166","3,244"
SD,2020-09-14,"1,233","1,233","1,233",61.55,61.55,61.55,"1,995","1,995","1,995"
TX,2020-09-14,"41,465","40,484","42,447",72.37,70.64,74.10,"57,317","56,458","58,176"
VT,2020-09-14,765,465,"1,065",65.00,-16.00,145.99,"1,177",807,"1,547"
MO,2020-09-15,"10,425","10,425","10,425",60.04,60.04,60.04,"17,235","17,235","17,235"
NE,2020-09-15,"3,185","3,157","3,213",65.12,63.19,67.05,"4,891","4,851","4,932"
NM,2020-09-15,"2,092","2,067","2,117",65.40,62.76,68.03,"3,199","3,163","3,235"
SD,2020-09-15,"1,284","1,273","1,294",63.64,61.86,65.42,"2,008","1,993","2,022"
TX,2020-09-15,"43,123","41,986","44,259",74.65,71.21,78.08,"57,861","56,782","58,939"
VT,2020-09-15,753,461,"1,045",63.98,-15.18,143.13,"1,177",816,"1,538"
MO,2020-09-16,"10,785","10,785","10,785",62.16,62.16,62.16,"17,235","17,235","17,235"
NE,2020-09-16,"3,246","3,230","3,263",66.17,64.44,67.90,"4,906","4,860","4,952"
NM,2020-09-16,"2,100","2,079","2,121",65.20,62.98,67.42,"3,221","3,191","3,251"
SD,2020-09-16,"1,296","1,296","1,296",64.61,64.06,65.15,"1,992","1,985","1,999"
TX,2020-09-16,"43,902","42,916","44,888",75.60,73.85,77.35,"58,156","57,281","59,030"
VT,2020-09-16,738,468,"1,008",62.70,-10.48,135.88,"1,177",844,"1,510"
MO,2020-09-17,"10,856","10,850","10,862",62.58,62.48,62.68,"17,242","17,236","17,248"
NE,2020-09-17,"3,326","3,295","3,357",67.40,65.07,69.73,"4,935","4,881","4,988"
NM,2020-09-17,"2,128","2,119","2,136",66.23,65.46,66.99,"3,212","3,204","3,221"
SD,2020-09-17,"1,300","1,277","1,324",65.11,61.14,69.09,"1,985","1,952","2,018"
TX,2020-09-17,"44,299","43,306","45,291",75.49,73.61,77.36,"58,770","57,873","59,666"
VT,2020-09-17,736,507,965,62.48,0.33,124.63,"1,178",895,"1,461"
MO,2020-09-18,"10,706","10,546","10,866",61.75,59.43,64.06,"17,229","17,207","17,251"
NE,2020-09-18,"3,273","3,237","3,309",66.64,63.90,69.37,"4,912","4,850","4,974"
NM,2020-09-18,"2,077","2,005","2,149",64.68,59.00,70.36,"3,211","3,190","3,232"
SD,2020-09-18,"1,294","1,264","1,323",64.42,57.88,70.96,"1,994","1,927","2,061"
TX,2020-09-18,"44,547","43,601","45,494",75.18,73.97,76.38,"59,339","58,488","60,190"
VT,2020-09-18,761,761,761,64.60,64.60,64.60,"1,178","1,178","1,178"
MO,2020-09-19,"10,240","9,924","10,556",59.16,53.58,64.74,"17,198","16,875","17,521"
NE,2020-09-19,"3,396","3,308","3,483",63.38,57.36,69.39,"5,358","5,209","5,506"
NM,2020-09-19,"1,980","1,968","1,992",62.19,61.12,63.26,"3,184","3,173","3,195"
SD,2020-09-19,"1,245","1,217","1,273",62.00,56.49,67.51,"1,992","1,938","2,046"
TX,2020-09-19,"41,864","40,704","43,025",72.00,68.04,75.96,"58,229","56,998","59,459"
VT,2020-09-19,741,741,741,62.69,62.69,62.69,"1,182","1,182","1,182"
MO,2020-09-20,"9,773","9,509","10,037",56.53,51.48,61.59,"17,169","16,830","17,508"
NE,2020-09-20,"3,384","2,925","3,843",61.02,33.60,88.43,"5,546","4,929","6,163"
NM,2020-09-20,"1,956","1,865","2,047",61.39,51.21,71.58,"3,186","3,042","3,330"
SD,2020-09-20,"1,197","1,166","1,228",59.98,53.48,66.48,"1,984","1,919","2,049"
TX,2020-09-20,"41,352","39,569","43,135",67.54,59.48,75.60,"61,308","59,181","63,435"
VT,2020-09-20,709,709,709,59.98,59.98,59.98,"1,182","1,182","1,182"
NC,2020-08-20,"18,301","18,298","18,304",86.15,86.10,86.20,"21,243","21,239","21,247"
OH,2020-08-20,"19,894","19,823","19,965",68.66,67.43,69.90,"28,973","28,784","29,162"
OK,2020-08-20,"5,662","5,604","5,720",63.15,61.13,65.17,"8,966","8,889","9,043"
SC,2020-08-20,"7,562","7,562","7,562",81.72,81.72,81.72,"9,253","9,253","9,253"
NC,2020-08-21,"19,118","19,094","19,141",87.77,87.38,88.15,"21,782","21,746","21,818"
OH,2020-08-21,"19,535","19,337","19,733",67.81,65.40,70.22,"28,809","28,505","29,113"
OK,2020-08-21,"5,627","5,569","5,685",63.03,60.99,65.07,"8,927","8,849","9,005"
SC,2020-08-21,"7,511","7,511","7,511",81.41,81.41,81.41,"9,226","9,226","9,226"
NC,2020-08-22,"18,925","18,855","18,995",87.97,86.74,89.20,"21,512","21,396","21,629"
OH,2020-08-22,"18,895","18,659","19,130",65.70,62.75,68.64,"28,760","28,380","29,141"
OK,2020-08-22,"5,315","5,258","5,372",60.08,58.03,62.13,"8,847","8,770","8,924"
SC,2020-08-22,"7,165","7,165","7,165",77.91,77.91,77.91,"9,197","9,197","9,197"
NC,2020-08-23,"19,479","19,439","19,519",90.20,89.39,91.01,"21,596","21,515","21,677"
OH,2020-08-23,"18,146","17,990","18,301",63.25,61.27,65.24,"28,687","28,427","28,947"
OK,2020-08-23,"5,099","4,940","5,259",58.01,51.84,64.18,"8,790","8,562","9,018"
SC,2020-08-23,"6,868","6,868","6,868",74.75,74.75,74.75,"9,188","9,188","9,188"
NC,2020-08-24,"18,134","18,107","18,162",86.06,82.18,89.93,"21,073","20,634","21,512"
OH,2020-08-24,"18,434","18,333","18,535",64.45,63.28,65.61,"28,604","28,467","28,741"
OK,2020-08-24,"5,166","5,114","5,217",58.04,56.19,59.88,"8,901","8,830","8,972"
SC,2020-08-24,"7,001","7,001","7,001",76.08,76.08,76.08,"9,202","9,202","9,202"
NC,2020-08-25,"18,443","18,437","18,448",87.37,87.04,87.70,"21,109","21,072","21,145"
OH,2020-08-25,"19,775","19,607","19,943",68.79,66.86,70.72,"28,747","28,518","28,976"
OK,2020-08-25,"5,517","5,469","5,565",61.63,59.91,63.35,"8,951","8,884","9,019"
SC,2020-08-25,"7,407","7,407","7,407",80.36,80.36,80.36,"9,217","9,217","9,217"
NC,2020-08-26,"18,990","18,958","19,022",80.44,79.91,80.97,"23,608","23,551","23,665"
OH,2020-08-26,"20,018","19,939","20,097",69.48,68.57,70.38,"28,812","28,705","28,919"
OK,2020-08-26,"5,697","5,655","5,739",63.38,61.84,64.92,"8,989","8,924","9,053"
SC,2020-08-26,"7,600","7,600","7,600",82.05,82.05,82.05,"9,263","9,263","9,263"
NC,2020-08-27,"18,694","18,694","18,694",79.30,79.30,79.30,"23,574","23,574","23,574"
OH,2020-08-27,"19,948","19,810","20,086",70.95,69.04,72.87,"28,114","27,862","28,367"
OK,2020-08-27,"5,669","5,622","5,717",62.82,60.89,64.76,"9,024","8,938","9,110"
SC,2020-08-27,"7,606","7,606","7,606",82.65,82.65,82.65,"9,203","9,203","9,203"
NC,2020-08-28,"15,360","15,315","15,406",72.97,72.31,73.62,"21,051","21,000","21,102"
OH,2020-08-28,"19,677","19,672","19,682",69.88,69.82,69.95,"28,157","28,149","28,165"
OK,2020-08-28,"5,550","5,508","5,591",61.92,60.45,63.39,"8,963","8,895","9,031"
SC,2020-08-28,"7,479","7,454","7,504",81.43,80.65,82.20,"9,185","9,160","9,210"
NC,2020-08-29,"15,053","14,997","15,110",71.62,70.70,72.54,"21,017","20,934","21,100"
OH,2020-08-29,"18,945","18,831","19,060",67.52,65.96,69.09,"28,057","27,850","28,263"
OK,2020-08-29,"5,267","5,175","5,360",58.97,55.77,62.17,"8,932","8,821","9,044"
SC,2020-08-29,"7,228","7,221","7,235",79.06,78.75,79.36,"9,143","9,130","9,156"
NC,2020-08-30,"14,809","14,727","14,890",70.60,69.30,71.90,"20,974","20,861","21,087"
OH,2020-08-30,"18,328","18,110","18,547",65.56,62.74,68.39,"27,955","27,600","28,311"
OK,2020-08-30,"4,989","4,959","5,019",56.13,55.04,57.22,"8,888","8,827","8,950"
SC,2020-08-30,"6,825","6,825","6,825",75.09,75.09,75.09,"9,089","9,089","9,089"
NC,2020-08-31,"14,377","14,046","14,709",68.19,62.67,73.71,"21,084","20,574","21,594"
OH,2020-08-31,"19,021","18,942","19,100",67.78,66.85,68.71,"28,062","27,954","28,169"
OK,2020-08-31,"5,101","5,059","5,143",57.08,55.66,58.50,"8,936","8,872","9,001"
SC,2020-08-31,"6,984","6,960","7,009",76.26,75.48,77.04,"9,158","9,134","9,183"
NC,2020-09-01,"5,411","4,829","5,992",24.96,14.21,35.71,"21,677","21,571","21,783"
OH,2020-09-01,"20,127","19,986","20,268",71.31,69.66,72.96,"28,225","28,033","28,417"
OK,2020-09-01,"5,406","5,360","5,452",60.28,58.53,62.03,"8,969","8,886","9,051"
SC,2020-09-01,"7,386","7,386","7,386",80.71,80.71,80.71,"9,151","9,151","9,151"
NC,2020-09-02,"5,309","5,263","5,354",24.50,23.59,25.41,"21,670","21,595","21,745"
OH,2020-09-02,"20,415","20,339","20,491",72.27,71.37,73.17,"28,247","28,142","28,352"
OK,2020-09-02,"5,539","5,519","5,558",61.67,61.21,62.13,"8,981","8,938","9,024"
SC,2020-09-02,"7,648","7,557","7,739",83.20,80.07,86.33,"9,192","9,079","9,305"
NC,2020-09-03,"6,247","5,923","6,571",28.71,22.72,34.71,"21,756","21,300","22,212"
OH,2020-09-03,"19,705","19,686","19,723",69.81,69.61,70.00,"28,227","28,208","28,247"
OK,2020-09-03,"5,577","5,558","5,596",62.25,61.75,62.75,"8,960","8,917","9,002"
SC,2020-09-03,"7,534","7,534","7,534",81.96,81.96,81.96,"9,192","9,192","9,192"
NC,2020-09-04,"7,599","7,428","7,770",35.78,32.72,38.84,"21,239","20,981","21,498"
OH,2020-09-04,"19,278","19,200","19,355",68.88,67.96,69.80,"27,987","27,881","28,094"
OK,2020-09-04,"5,528","5,489","5,566",61.48,59.85,63.10,"8,991","8,923","9,060"
SC,2020-09-04,"7,433","7,433","7,433",80.94,80.94,80.94,"9,183","9,183","9,183"
NC,2020-09-05,"7,409","7,359","7,460",35.68,33.97,37.39,"20,764","20,503","21,025"
OH,2020-09-05,"18,539","18,320","18,757",66.51,63.67,69.35,"27,873","27,516","28,229"
OK,2020-09-05,"5,175","5,087","5,263",57.99,54.79,61.18,"8,924","8,815","9,033"
SC,2020-09-05,"7,036","7,036","7,036",76.95,76.95,76.95,"9,144","9,144","9,144"
NC,2020-09-06,"13,600","13,575","13,624",68.04,67.64,68.44,"19,987","19,954","20,020"
OH,2020-09-06,"17,504","17,211","17,798",62.93,59.53,66.34,"27,813","27,440","28,186"
OK,2020-09-06,"4,930","4,881","4,979",55.42,53.26,57.57,"8,897","8,803","8,990"
SC,2020-09-06,"6,731","6,731","6,731",74.11,74.11,74.11,"9,083","9,083","9,083"
NC,2020-09-07,"13,435","13,429","13,441",67.36,67.18,67.54,"19,944","19,924","19,964"
OH,2020-09-07,"17,506","17,391","17,622",62.84,61.26,64.42,"27,858","27,651","28,065"
OK,2020-09-07,"4,860","4,838","4,882",54.71,53.78,55.64,"8,884","8,845","8,922"
SC,2020-09-07,"6,690","6,684","6,695",73.71,73.45,73.98,"9,075","9,063","9,087"
NC,2020-09-08,"14,562","14,542","14,582",70.02,69.55,70.49,"20,798","20,747","20,848"
OH,2020-09-08,"18,098","18,073","18,122",65.19,64.94,65.44,"27,762","27,742","27,783"
OK,2020-09-08,"4,965","4,913","5,017",55.81,52.99,58.63,"8,897","8,757","9,037"
SC,2020-09-08,"6,892","6,887","6,896",75.43,75.18,75.68,"9,136","9,124","9,148"
NC,2020-09-09,"15,443","15,411","15,475",73.44,72.91,73.97,"21,029","20,980","21,078"
OH,2020-09-09,"19,741","19,664","19,818",70.62,69.70,71.54,"27,953","27,847","28,059"
OK,2020-09-09,"5,537","5,481","5,593",61.55,58.56,64.55,"8,996","8,850","9,142"
SC,2020-09-09,"7,471","7,471","7,471",81.26,81.26,81.26,"9,194","9,194","9,194"
NC,2020-09-10,"15,823","15,818","15,828",75.19,75.01,75.36,"21,045","21,025","21,066"
OH,2020-09-10,"19,769","19,679","19,859",70.46,69.39,71.52,"28,057","27,933","28,181"
OK,2020-09-10,"5,655","5,627","5,684",62.59,61.37,63.82,"9,035","8,982","9,088"
SC,2020-09-10,"7,583","7,583","7,583",82.39,82.39,82.39,"9,204","9,204","9,204"
NC,2020-09-11,"16,254","16,247","16,262",77.25,77.09,77.42,"21,041","21,024","21,057"
OH,2020-09-11,"19,686","19,587","19,784",70.57,69.40,71.74,"27,895","27,759","28,030"
OK,2020-09-11,"5,699","5,671","5,727",63.12,61.94,64.30,"9,029","8,978","9,080"
SC,2020-09-11,"7,542","7,542","7,542",82.58,82.58,82.58,"9,133","9,133","9,133"
NC,2020-09-12,"15,569","15,181","15,958",74.34,68.45,80.23,"20,944","20,456","21,433"
OH,2020-09-12,"18,961","18,821","19,102",67.88,66.05,69.71,"27,935","27,704","28,166"
OK,2020-09-12,"5,391","5,363","5,419",60.21,59.20,61.22,"8,954","8,902","9,006"
SC,2020-09-12,"7,148","7,123","7,173",78.58,77.79,79.36,"9,097","9,072","9,122"
NC,2020-09-13,"14,278","13,174","15,381",83.06,68.51,97.60,"17,190","16,847","17,534"
OH,2020-09-13,"18,290","18,076","18,503",65.55,62.77,68.32,"27,903","27,553","28,253"
OK,2020-09-13,"5,152","5,122","5,182",57.77,56.69,58.85,"8,918","8,863","8,973"
SC,2020-09-13,"6,934","6,928","6,939",76.12,75.85,76.38,"9,109","9,097","9,121"
NC,2020-09-14,"15,070","15,057","15,083",72.83,72.48,73.18,"20,692","20,653","20,731"
OH,2020-09-14,"18,499","18,489","18,509",66.22,66.12,66.33,"27,935","27,925","27,945"
OK,2020-09-14,"5,284","5,250","5,319",59.31,58.12,60.50,"8,910","8,854","8,966"
SC,2020-09-14,"7,002","7,002","7,002",76.92,76.92,76.92,"9,103","9,103","9,103"
NC,2020-09-15,"15,431","15,412","15,450",74.34,73.81,74.87,"20,757","20,699","20,815"
OH,2020-09-15,"19,733","19,654","19,812",70.08,69.16,71.01,"28,156","28,048","28,264"
OK,2020-09-15,"5,599","5,568","5,630",62.78,61.62,63.93,"8,919","8,860","8,978"
SC,2020-09-15,"7,302","7,302","7,302",79.43,79.43,79.43,"9,193","9,193","9,193"
